name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iterations
5uez_ligand,-2.211068,5,0,4,39,500,100,N/A,N/A
5uez_ligand,-2.211068,5,0,4,39,5500,100,10,100
5uez_ligand,-1.306670,5,1,4,39,5500,100,10,100
5uez_ligand,0.637348,5,2,4,39,5500,100,10,100
5uez_ligand,6.907688,5,3,4,39,5500,100,10,100
5uez_ligand,0.142400,5,4,4,39,5500,100,10,100
5uez_ligand,-2.211068,5,0,4,39,1000,100,10,10
5uez_ligand,-1.306670,5,1,4,39,1000,100,10,10
5uez_ligand,0.637348,5,2,4,39,1000,100,10,10
5uez_ligand,6.907688,5,3,4,39,1000,100,10,10
5uez_ligand,0.142400,5,4,4,39,1000,100,10,10
5uez_ligand,-2.211068,5,0,4,39,3000,100,10,50
5uez_ligand,-1.306670,5,1,4,39,3000,100,10,50
5uez_ligand,0.637348,5,2,4,39,3000,100,10,50
5uez_ligand,6.907688,5,3,4,39,3000,100,10,50
5uez_ligand,0.142400,5,4,4,39,3000,100,10,50
5uez_ligand,-1.306670,5,1,4,39,500,100,N/A,N/A
5uez_ligand,-2.211068,5,0,4,39,13000,100,25,100
5uez_ligand,-1.306670,5,1,4,39,13000,100,25,100
5uez_ligand,0.637348,5,2,4,39,13000,100,25,100
5uez_ligand,6.907688,5,3,4,39,13000,100,25,100
5uez_ligand,0.142400,5,4,4,39,13000,100,25,100
5uez_ligand,-2.211068,5,0,4,39,1750,100,25,10
5uez_ligand,-1.306670,5,1,4,39,1750,100,25,10
5uez_ligand,0.637348,5,2,4,39,1750,100,25,10
5uez_ligand,6.907688,5,3,4,39,1750,100,25,10
5uez_ligand,0.142400,5,4,4,39,1750,100,25,10
5uez_ligand,-2.211068,5,0,4,39,6750,100,25,50
5uez_ligand,-1.306670,5,1,4,39,6750,100,25,50
5uez_ligand,0.637348,5,2,4,39,6750,100,25,50
5uez_ligand,6.907688,5,3,4,39,6750,100,25,50
5uez_ligand,0.142400,5,4,4,39,6750,100,25,50
5uez_ligand,0.637348,5,2,4,39,500,100,N/A,N/A
5uez_ligand,6.907688,5,3,4,39,500,100,N/A,N/A
5uez_ligand,0.142400,5,4,4,39,500,100,N/A,N/A
5uez_ligand,-2.211068,5,0,4,39,25500,100,50,100
5uez_ligand,-1.306670,5,1,4,39,25500,100,50,100
5uez_ligand,0.637348,5,2,4,39,25500,100,50,100
5uez_ligand,6.907688,5,3,4,39,25500,100,50,100
5uez_ligand,0.142400,5,4,4,39,25500,100,50,100
5uez_ligand,-2.211068,5,0,4,39,3000,100,50,10
5uez_ligand,-1.306670,5,1,4,39,3000,100,50,10
5uez_ligand,0.637348,5,2,4,39,3000,100,50,10
5uez_ligand,6.907688,5,3,4,39,3000,100,50,10
5uez_ligand,0.142400,5,4,4,39,3000,100,50,10
5uez_ligand,-2.211068,5,0,4,39,13000,100,50,50
5uez_ligand,-1.306670,5,1,4,39,13000,100,50,50
5uez_ligand,0.637348,5,2,4,39,13000,100,50,50
5uez_ligand,6.907688,5,3,4,39,13000,100,50,50
5uez_ligand,0.142400,5,4,4,39,13000,100,50,50
